Performer,Songwriter,Credit
TRUE,,Low Whistle
TRUE,,Lur
TRUE,,Lyricon
TRUE,,Mellophone
TRUE,,Melodeon
TRUE,,Mizmar
TRUE,,Mizwad
TRUE,,Moceño
TRUE,,Murli
TRUE,,Musette
TRUE,,Nadaswaram
TRUE,,Ney
TRUE,,Nose Flute
TRUE,,Oboe
TRUE,,Oboe d'Amore
TRUE,,Ocarina
TRUE,,Ophicleide
TRUE,,Panpipes
TRUE,,Piano Accordion
TRUE,,Piccolo Flute
TRUE,,Pipe
TRUE,,Pito
TRUE,,Pixiephone
TRUE,,Quena
TRUE,,Quenacho
TRUE,,Rauschpfeife
TRUE,,Recorder
TRUE,,Reeds
TRUE,,Rhaita
TRUE,,Rondador
TRUE,,Rozhok
TRUE,,Ryuteki
TRUE,,Sackbut
TRUE,,Sampona
TRUE,,Sarrusophone
TRUE,,Saxello
TRUE,,Saxophone
TRUE,,Serpent
TRUE,,Shakuhachi
TRUE,,Shanai
TRUE,,Shawm
TRUE,,Shenai
TRUE,,Sheng
TRUE,,Shinobue
TRUE,,Sho
TRUE,,Slide Whistle
TRUE,,Sopilka
TRUE,,Sopranino Saxophone
TRUE,,Soprano Clarinet
TRUE,,Soprano Saxophone
TRUE,,Souna
TRUE,,Sousaphone
TRUE,,Sruti Box
TRUE,,Subcontrabass Saxophone
TRUE,,Suling
TRUE,,Suona
TRUE,,Tárogató
TRUE,,Tenor Saxophone
TRUE,,Ti-tse
TRUE,,Tin Whistle
TRUE,,Trombone
TRUE,,Trumpet
TRUE,,Tuba
TRUE,,Valve Trombone
TRUE,,Whistle
TRUE,,Whistling Water Jar
TRUE,,Wind
TRUE,,Woodwind
TRUE,,Yorgaphone
TRUE,,Zhaleika
TRUE,,Zukra
TRUE,,Zurna
TRUE,,Computer
TRUE,,Drum Machine
TRUE,,Effects
TRUE,,Electronics
TRUE,,Groovebox
TRUE,,Loops
TRUE,,MIDI Controller
TRUE,,Noises
TRUE,,Sampler
TRUE,,Scratches
TRUE,,Talkbox
TRUE,,Tape
TRUE,,Theremin
TRUE,,Turntables
TRUE,,Vocoder
TRUE,,Accompanied By
TRUE,,Audio Generator
TRUE,,Backing Band
TRUE,,Band
TRUE,,Bass
TRUE,,Brass Band
TRUE,,Bullroarer
TRUE,,Concert Band
TRUE,,E-Bow
TRUE,,Ensemble
TRUE,,Gamelan
TRUE,,Glass Harmonica
TRUE,,Guest
TRUE,,Homus
TRUE,,Instruments
TRUE,,Jew's Harp
TRUE,,Mbira
TRUE,,Morchang
TRUE,,Musician
TRUE,,Orchestra
TRUE,,Performer
TRUE,,Saw
TRUE,,Siren
TRUE,,Soloist
TRUE,,Sounds
TRUE,,Toy
TRUE,,Trautonium
TRUE,,Wind Chimes
TRUE,,Wobble Board
,TRUE,Written By
,TRUE,Written-By
,TRUE,Adapted By
,TRUE,Arranged By
,TRUE,Composed By
,TRUE,Lyrics By
,TRUE,Music By
,TRUE,Songwriter
,TRUE,Words By
